x	y	z
28	92	0.9920032357458283
28	94	0.99164125581284
28	96	0.9894936923387022
28	98	0.9835739598180607
28	100	0.9712185193369204
30	0	8.817770726776514e-5
30	2	1.954590162120945e-4
30	4	4.3320746096440257e-4
30	6	9.598658657759042e-4
30	8	0.002125564211567086
30	10	0.004913027579263002
30	12	0.013550615103264614
30	14	0.0315916731405508
30	16	0.06303718512779424
30	18	0.12307430575799203
30	20	0.21393722745001137
30	22	0.41790435134979603
30	24	0.7141876700040038
30	26	0.9043784340270942
30	28	0.9621791659770847
30	30	0.9729148894755036
30	32	0.9748228206455843
30	34	0.9784806960798443
30	36	0.9806590656408016
30	38	0.9793015333628692
30	40	0.978200280873955
30	42	0.9824333084468736
30	44	0.9899263729839618
30	46	0.9949067829397307
30	48	0.9965966580442878
